Номер кадра	Номер зоны	Ожидаемый класс	Фактический класс	Код причины	A_def, пикс.	A_max, пикс.	Delta_r, пикс.	K_circ	t_proc, мс	t_OPC, мс	Итог
# Протокол создан: 2026-05-17 01:00:11
# Папка изображений: C:/Users/L13 Yoga/Pictures/fotoLed1080
# Диапазон кадров: 618...764
# Примечание: поле 'Ожидаемый класс' заполняется как 'Не задан', пока нет файла ручной разметки.
#
0618	1	Не задан	Норма	нет	0	0	12.37	0.2093	148.22	0.0	годен
0618	2	Не задан	Норма	нет	0	0	32.28	0.0956	148.22	0.0	годен
0618	3	Не задан	Норма	нет	0	0	57.49	0.381	148.22	0.0	годен
0618	4	Не задан	Норма	нет	0	0	14.32	0.4099	148.22	0.0	годен
0619	1	Не задан	Норма	нет	0	0	7.0	0.1649	153.36	0.0	годен
0619	2	Не задан	Норма	нет	0	0	32.57	0.1466	153.36	0.0	годен
0619	3	Не задан	Норма	нет	0	0	44.6	0.1756	153.36	0.0	годен
0619	4	Не задан	Норма	нет	0	0	26.57	0.3862	153.36	0.0	годен
0620	1	Не задан	Норма	нет	0	0	5.39	0.0772	144.98	0.0	годен
0620	2	Не задан	Норма	нет	0	0	31.05	0.1647	144.98	0.0	годен
0620	3	Не задан	Норма	нет	0	0	34.41	0.3546	144.98	0.0	годен
0620	4	Не задан	Норма	нет	0	0	10.2	0.4509	144.98	0.0	годен
0621	1	Не задан	Норма	нет	0	0	10.63	0.1241	138.41	0.0	годен
0621	2	Не задан	Норма	нет	0	0	18.87	0.1202	138.41	0.0	годен
0621	3	Не задан	Норма	нет	0	0	29.68	0.5862	138.41	0.0	годен
0621	4	Не задан	Норма	нет	0	0	9.49	0.4558	138.41	0.0	годен
0622	1	Не задан	Норма	нет	0	0	14.87	0.173	139.3	0.0	годен
0622	2	Не задан	Норма	нет	0	0	11.4	0.2809	139.3	0.0	годен
0622	3	Не задан	Норма	нет	0	0	47.43	0.1203	139.3	0.0	годен
0622	4	Не задан	Норма	нет	0	0	12.37	0.5315	139.3	0.0	годен
0623	1	Не задан	Норма	нет	0	0	4.12	0.0867	141.39	0.0	годен
0623	2	Не задан	Норма	нет	0	0	25.96	0.1034	141.39	0.0	годен
0623	3	Не задан	Норма	нет	0	0	54.08	0.1774	141.39	0.0	годен
0623	4	Не задан	Норма	нет	0	0	15.52	0.6489	141.39	0.0	годен
0624	1	Не задан	Норма	нет	0	0	17.89	0.1467	145.43	0.0	годен
0624	2	Не задан	Норма	нет	0	0	14.32	0.2186	145.43	0.0	годен
0624	3	Не задан	Норма	нет	0	0	53.76	0.2425	145.43	0.0	годен
0624	4	Не задан	Норма	нет	0	0	8.25	0.3807	145.43	0.0	годен
0625	1	Не задан	Норма	нет	0	0	22.8	0.1265	145.21	0.0	годен
0625	2	Не задан	Норма	нет	0	0	25.81	0.0996	145.21	0.0	годен
0625	3	Не задан	Норма	нет	0	0	55.95	0.1222	145.21	0.0	годен
0625	4	Не задан	Норма	нет	0	0	9.22	0.5515	145.21	0.0	годен
0626	1	Не задан	Норма	нет	0	0	16.16	0.0973	199.15	0.0	годен
0626	2	Не задан	Норма	нет	0	0	18.97	0.1843	199.15	0.0	годен
0626	3	Не задан	Норма	нет	0	0	56.75	0.2819	199.15	0.0	годен
0626	4	Не задан	Норма	нет	0	0	11.66	0.535	199.15	0.0	годен
0627	1	Не задан	Норма	нет	0	0	25.0	0.1428	154.94	0.0	годен
0627	2	Не задан	Норма	нет	0	0	27.73	0.1456	154.94	0.0	годен
0627	3	Не задан	Норма	нет	0	0	54.12	0.3755	154.94	0.0	годен
0627	4	Не задан	Норма	нет	0	0	13.04	0.3731	154.94	0.0	годен
0628	1	Не задан	Норма	нет	0	0	20.52	0.1702	157.86	0.0	годен
0628	2	Не задан	Норма	нет	0	0	22.47	0.1247	157.86	0.0	годен
0628	3	Не задан	Норма	нет	0	0	40.82	0.3236	157.86	0.0	годен
0628	4	Не задан	Норма	нет	0	0	14.87	0.3149	157.86	0.0	годен
0629	1	Не задан	Норма	нет	0	0	15.81	0.0929	159.06	0.0	годен
0629	2	Не задан	Норма	нет	0	0	1.0	0.1613	159.06	0.0	годен
0629	3	Не задан	Норма	нет	0	0	34.06	0.41	159.06	0.0	годен
0629	4	Не задан	Норма	нет	0	0	14.32	0.4588	159.06	0.0	годен
0630	1	Не задан	Норма	нет	0	0	24.21	0.1149	155.97	0.0	годен
0630	2	Не задан	Норма	нет	0	0	24.19	0.1907	155.97	0.0	годен
0630	3	Не задан	Норма	нет	0	0	55.71	0.1524	155.97	0.0	годен
